Country,Clicks,Impressions,CTR,Position
Ukraine,1,33,3.03%,8.33
Algeria,1,33,3.03%,8.67
Nigeria,1,32,3.12%,5.94
Austria,1,31,3.23%,7.35
Greece,1,26,3.85%,6.42
Lebanon,1,26,3.85%,6.88
Finland,1,25,4%,6.68
Ecuador,1,24,4.17%,7.83
Azerbaijan,1,23,4.35%,6.52
Trinidad & Tobago,1,23,4.35%,7.48
Cyprus,1,22,4.55%,5.82
Bulgaria,1,22,4.55%,9
Jamaica,1,19,5.26%,6.68
Uzbekistan,1,19,5.26%,8.79
Iraq,1,18,5.56%,6.22
Curaçao,1,17,5.88%,2.76
Macedonia,1,17,5.88%,5.76
Guatemala,1,11,9.09%,7.09
Armenia,1,11,9.09%,7.55
Kyrgyzstan,1,8,12.5%,5
Albania,1,8,12.5%,5.38
Belarus,1,8,12.5%,7.88
Mauritius,1,7,14.29%,7.14
Latvia,1,6,16.67%,4.5
Bahrain,1,6,16.67%,4.83
Palestine,1,6,16.67%,5
Brunei,1,4,25%,3.75
Namibia,1,4,25%,6
Swaziland,1,3,33.33%,3
Bahamas,1,3,33.33%,4.33
Senegal,1,3,33.33%,4.67
Congo - Kinshasa,1,3,33.33%,5.67
Saudi Arabia,0,68,0%,7.54
Hong Kong,0,56,0%,5.29
Czechia,0,47,0%,6.3
Croatia,0,38,0%,5.53
Qatar,0,29,0%,5.24
China,0,24,0%,8.29
Peru,0,22,0%,5.91
Dominican Republic,0,22,0%,7.86
Cambodia,0,20,0%,6.85
Tunisia,0,18,0%,6.83
Taiwan,0,18,0%,7.44
Pakistan,0,18,0%,8.56
Slovenia,0,17,0%,4.88
Venezuela,0,16,0%,6.44
Costa Rica,0,15,0%,6.93
Laos,0,14,0%,5.79
Nepal,0,13,0%,8.92
Ghana,0,12,0%,6.25
Panama,0,12,0%,6.75
Montenegro,0,11,0%,6.18
Bolivia,0,11,0%,6.36
Uruguay,0,11,0%,6.91
Honduras,0,11,0%,7
Moldova,0,10,0%,4.8
El Salvador,0,10,0%,6.4
Estonia,0,9,0%,7.78
Paraguay,0,9,0%,10.11
Nicaragua,0,8,0%,6.5
Kuwait,0,8,0%,10.5
Libya,0,6,0%,4.67
Kenya,0,6,0%,4.83
Ethiopia,0,6,0%,5.17
Malta,0,6,0%,6.33
Cuba,0,6,0%,7.5
Barbados,0,5,0%,6
Zambia,0,4,0%,3
Northern Mariana Islands,0,4,0%,3.5
Bosnia & Herzegovina,0,4,0%,5.5
Kosovo,0,4,0%,5.75
Gambia,0,3,0%,6.67
Tajikistan,0,3,0%,6.67
Guam,0,3,0%,7
French Polynesia,0,3,0%,8.33
Côte d’Ivoire,0,3,0%,13.67
Jersey,0,3,0%,20.67
Luxembourg,0,2,0%,3
Iceland,0,2,0%,3.5
Guernsey,0,2,0%,6
Guyana,0,2,0%,6
New Caledonia,0,2,0%,6
Oman,0,2,0%,6.5
Guadeloupe,0,2,0%,7
Bermuda,0,2,0%,7.5
Cape Verde,0,2,0%,7.5
Gibraltar,0,2,0%,7.5
Tanzania,0,2,0%,8
Macau,0,2,0%,9
St. Martin,0,2,0%,10
American Samoa,0,1,0%,1
Benin,0,1,0%,2
Liberia,0,1,0%,2
Sudan,0,1,0%,2
Syria,0,1,0%,2
Afghanistan,0,1,0%,3
Faroe Islands,0,1,0%,4
Turkmenistan,0,1,0%,4
Malawi,0,1,0%,5
Western Sahara,0,1,0%,6
Rwanda,0,1,0%,6
Aruba,0,1,0%,7
Angola,0,1,0%,7
St. Lucia,0,1,0%,7
San Marino,0,1,0%,8
Congo - Brazzaville,0,1,0%,9
Réunion,0,1,0%,9
Antigua & Barbuda,0,1,0%,10
